timestamp,razon_social,cp,aprobado,modo
2026-05-30T11:51:19,CADU INMOBILIARIA,77503,SI,AUTONOMO
2026-05-30T11:51:50,CADU INMOBILIARIA,77503,SI,AUTONOMO
2026-05-30T12:22:09,CADU INMOBILIARIA,77503,SI,AUTONOMO
2026-05-30T12:22:39,CADU INMOBILIARIA,77503,SI,AUTONOMO
2026-05-30T12:23:10,CADU INMOBILIARIA,77503,SI,AUTONOMO
2026-05-30T12:23:41,CADU INMOBILIARIA,77503,SI,AUTONOMO
2026-05-30T12:24:12,CADU INMOBILIARIA,77503,SI,AUTONOMO
2026-05-30T12:24:43,CADU INMOBILIARIA,77503,SI,AUTONOMO
2026-05-30T12:25:13,CADU INMOBILIARIA,77503,SI,AUTONOMO
2026-05-30T12:25:45,CADU INMOBILIARIA,77503,SI,AUTONOMO
2026-05-30T12:26:14,CADU INMOBILIARIA,77503,SI,AUTONOMO
2026-05-30T12:26:43,CADU INMOBILIARIA,77503,SI,AUTONOMO
2026-05-30T12:27:15,CADU INMOBILIARIA,77503,SI,AUTONOMO
2026-05-30T12:27:47,CADU INMOBILIARIA,77503,SI,AUTONOMO
2026-05-30T12:28:19,CADU INMOBILIARIA,77503,SI,AUTONOMO
2026-05-30T12:28:51,CADU INMOBILIARIA,77503,SI,AUTONOMO
2026-05-30T12:29:21,CADU INMOBILIARIA,77503,SI,AUTONOMO
2026-05-30T12:29:53,CADU INMOBILIARIA,77503,SI,AUTONOMO
2026-05-30T12:30:24,CADU INMOBILIARIA,77503,SI,AUTONOMO
2026-05-30T13:16:36,CADU INMOBILIARIA,77503,SI,AUTONOMO
2026-05-30T13:17:06,CADU INMOBILIARIA,77503,SI,AUTONOMO
2026-05-30T13:17:36,CADU INMOBILIARIA,77503,SI,AUTONOMO
2026-05-30T13:18:08,CADU INMOBILIARIA,77503,SI,AUTONOMO
2026-05-30T13:18:38,CADU INMOBILIARIA,77503,SI,AUTONOMO
2026-05-30T13:19:10,CADU INMOBILIARIA,77503,SI,AUTONOMO
2026-05-30T13:19:37,CADU INMOBILIARIA,77503,SI,AUTONOMO
2026-05-30T13:20:08,CADU INMOBILIARIA,77503,SI,AUTONOMO
2026-05-30T13:20:37,CADU INMOBILIARIA,77503,SI,AUTONOMO
2026-05-30T13:21:08,CADU INMOBILIARIA,77503,SI,AUTONOMO
2026-05-30T13:21:38,CADU INMOBILIARIA,77503,SI,AUTONOMO
2026-05-30T13:22:10,CADU INMOBILIARIA,77503,SI,AUTONOMO
2026-05-30T13:22:40,CADU INMOBILIARIA,77503,SI,AUTONOMO
2026-05-30T13:23:11,CADU INMOBILIARIA,77503,SI,AUTONOMO
2026-05-30T13:23:44,CADU INMOBILIARIA,77503,SI,AUTONOMO
2026-05-30T13:24:13,CADU INMOBILIARIA,77503,SI,AUTONOMO
2026-05-30T13:24:44,CADU INMOBILIARIA,77503,SI,AUTONOMO
2026-05-30T13:25:15,CADU INMOBILIARIA,77503,SI,AUTONOMO
2026-05-30T13:25:46,CADU INMOBILIARIA,77503,SI,AUTONOMO
2026-05-30T13:26:16,CADU INMOBILIARIA,77503,SI,AUTONOMO
2026-05-30T13:33:25,CADU INMOBILIARIA,77503,SI,AUTONOMO
2026-05-30T13:33:55,CADU INMOBILIARIA,77503,SI,AUTONOMO
2026-05-30T13:34:29,CADU INMOBILIARIA,77503,SI,AUTONOMO
2026-05-30T13:35:04,CADU INMOBILIARIA,77503,SI,AUTONOMO
2026-05-30T13:35:34,CADU INMOBILIARIA,77503,SI,AUTONOMO
2026-05-30T13:36:05,CADU INMOBILIARIA,77503,SI,AUTONOMO
2026-05-30T13:36:36,CADU INMOBILIARIA,77503,SI,AUTONOMO
2026-05-30T13:37:08,CADU INMOBILIARIA,77503,SI,AUTONOMO
2026-05-30T13:37:38,CADU INMOBILIARIA,77503,SI,AUTONOMO
2026-06-01T17:17:40,CADU INMOBILIARIA,77503,SI,AUTONOMO
2026-06-01T17:18:00,CADU INMOBILIARIA,77503,SI,AUTONOMO
2026-06-01T17:18:20,CADU INMOBILIARIA,77503,SI,AUTONOMO
2026-06-01T17:18:41,CADU INMOBILIARIA,77503,SI,AUTONOMO
2026-06-01T17:19:01,CADU INMOBILIARIA,77503,SI,AUTONOMO
2026-06-01T17:19:21,CADU INMOBILIARIA,77503,SI,AUTONOMO
2026-06-01T17:19:40,CADU INMOBILIARIA,77503,SI,AUTONOMO
2026-06-01T17:20:00,CADU INMOBILIARIA,77503,SI,AUTONOMO
2026-06-01T18:49:43,CADU INMOBILIARIA,77503,SI,AUTONOMO
2026-06-01T18:50:11,CADU INMOBILIARIA,77503,SI,AUTONOMO
2026-06-01T19:03:41,CADU INMOBILIARIA,77503,SI,AUTONOMO
2026-06-01T19:04:08,CADU INMOBILIARIA,77503,SI,AUTONOMO
2026-06-01T19:26:54,CADU INMOBILIARIA,77503,SI,AUTONOMO
2026-06-01T19:27:19,CADU INMOBILIARIA,77503,SI,AUTONOMO
2026-06-01T19:27:47,CADU INMOBILIARIA,77503,SI,AUTONOMO
2026-06-01T19:28:14,CADU INMOBILIARIA,77503,SI,AUTONOMO
2026-06-01T19:28:40,CADU INMOBILIARIA,77503,SI,AUTONOMO
2026-06-01T19:29:07,CADU INMOBILIARIA,77503,SI,AUTONOMO
